Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MagneticBuzzer_Kingstate_KCG0601,1,Buzzer,
C1,0603,1,4n7,
C10,0603,1,1uF,
C11,0603,1,100nF,
C12,0603,1,2u2,
C13,0603,1,100u,
C14,0603,1,10uF,
C15,0603,1,3.3 nF,
C16,0603,1,22uF,
"C17, C19, C20, C21, C3, C6, C7",0603,7,0.1uF,
C18,0603,1,1u,
C2,0603,1,100n,
C22,0603,1,C,
"C26, C27",0201,2,0.1uF,
C4,0603,1,22pF,
C5,0603,1,22p,
C8,0603,1,10u,
"D1, D13, D14, D3, D5",0201,5,LED,
D12,Nexperia_CFP3_SOD-123W,1,PMEG6020ER,
D2,SOT-143,1,PRTR5V0U2X,
"D7, D8",LED_ROHM_SMLVN6,2,SMLVN6RGB,
J1,USB_C_Receptacle_Amphenol_124019772112A,1,USB_C_Receptacle_USB2.0_16P,
J2,microSD_HC_Hirose_DM3D-SF,1,Micro_SD_Card_Det1,
J3,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
"J4, J5, J6",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03,
J7,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,2,Jumper_2_Small_Open,
L1,L_7.3x7.3_H4.5,1,SLF7055T-6R8N2R8-3PF,
Q4,SOT-23,1,BSS138,
"R1, R2, R34",0603,3,2k2,
"R10, R7, R8, R9",0603,4,4k7,
"R11, R13, R39, R4",0603,4,330,
R12,0603,1,0,
"R21, R22, R23, R24, R25, R26",0603,6,220,
"R27, R28, R30, R37",0603,4,100k,
R29,0603,1,315k,
"R3, R31",0603,2,10k,
"R32, R33",0201,2,10k,
R35,0603,1,350,
R38,0603,1,100,
"R5, R6",0603,2,5k1,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_1.0x1.0mm,9,TestPoint,
U1,Texas_SIL0008D_MicroSiP-8-1EP_2.8x3mm_P0.65mm_EP1.1x1.9mm_ThermalVias,1,TPS82130,
U10,TQFP-48_7x7mm_P0.5mm,1,ATmega4809-A,
U12,SOT-23-5,1,AP2112K-3.3,
U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,ATSAMD11D14A-M,
U4,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,BMP390L,
U5,HVSOF5,1,BD1020HFV-TR,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,AT25DF641A-SH-T,
U8,LGA-28_5.2x3.8mm_P0.5mm,1,BNO055,
U9,Texas_RSA_VQFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm_ThermalVias,1,TPS61092,
Y1,Crystal_C26-LF_D2.1mm_L6.5mm_Vertical,1,Crystal,
